2375 | 2070 | 3075 | 2180
2490 | 2010 | 0 | 2175
2590 | 1990 | 2630 | 1990
2590 | 1990 | 3640 | 1945
2740 | 1925 | 7920 | 1765
3025 | 1790 | 10500 | 1555

237.5; 207.0; 249.0; 201.0; 259.0; 199.0; 259.0; 199.0; 274.0; 192.5; 302.5; 179.0 --> minor values
307.5; 218.0; 217.5; 263.0; 199.0; 364.0; 194.5; 792.0; 176.5; 1050.0; 155.5 --> major values


6550 | 5700 | 6962 | 5615
6810 | 5620 | 6860 | 5360
6820 | 5615 | 6860 | 5330
6825 | 5560 | 6890 | 5240
6860 | 5520 | 7000 | 5070
6880 | 5475 | 7060 | 5065


42226 | 38540 | 46360 | 37220
41336 | 38210 | 43300 | 35624
41346 | 37320 | 43960 | 35474
41750 | 37084 | 44576 | 34170
42380 | 37084 | 46230 | 33720
42796 | 37084 | 49360 | 33624
